line_id,movie_title,line,levenshtein_distance_from_script,memorable?
875814,wild things,My mother would kill me if she knew I took the Rover!,5,1
875877,wild things,I think it was something else... Suzie says the bust was bullshit...,0,0
876005,wild things,No little bitch could ever make me cum.,10,1
875797,wild things,I think we just need to get wasted.,0,0
840737,u turn,"You've been a bad girl, Grace!",118,1
840734,u turn,"What the hell you doin', Grace?",0,0
840544,u turn,Your lies are old but you tell them pretty good.,13,1
840540,u turn,"All that uranium, plutonium, fuffonium, fuckononium, assononium, all that ""om""!",0,0
840284,u turn,And a waitress named Flo.,12,1
840267,u turn,You son of a bitch!,0,0
840469,u turn,"I bet right now, you don't know if you want to kill me... or fuck me.",29,1
840483,u turn,"Women say they don't want to be taken like, really taken -- that's bullshit -- they do.",0,0
840308,u turn,Is everyone in this town on drugs?,14,1
840319,u turn,I was making time with your girl.,0,0
840060,u turn,And here I made you all hot and sweaty...,5,1
840064,u turn,"Well, he offered, and I just couldn't refuse.",0,0
585340,ordinary people,"Don't admire people too much, they might disappoint you.",25,1
585317,ordinary people,And I don't know if you're really giving.,0,0
584701,ordinary people,A little advice about feelings kiddo; don't expect it always to tickle.,5,1
584902,ordinary people,I mean there's someone besides your mother you've got to forgive.,0,0
288126,fletch,"Thank god, the... police.",4,1
288115,fletch,then I figured it.,0,0
287669,fletch,"Look, defenseless babies!",2,1
287664,fletch,I hate this.,0,0
27572,ali,"Don King talks black, lives white and thinks green.",46,1
27574,ali,And now they got you up against George Foreman.,0,0
27257,ali,Ain't no Vietcong ever called me nigger.,7,1
27238,ali,"I'm no Stokely Carmichael, H. Rap Brown...",0,0
27402,ali,You look like the heavyweight champion of pimps.,163,1
27394,ali,"There's no ""back"" to take you to...",0,0
149439,bruce almighty,"I saw it, and it was *good*!",14,1
149462,bruce almighty,What if God was one of us.,0,0
149279,bruce almighty,I'm Bruce Nolan with Eyewitness Nose... Eyewitness Nose... that's right!,36,1
149267,bruce almighty,"Well, I guess that's the way life works, isn't it?",0,0
149168,bruce almighty,And that's the way the cookie crumbles.,0,1
149164,bruce almighty,"Any word on the open anchor position, Jack?",0,0
276229,fantastic voyage,"You'll wind up a Hindu; and love all forms of life, no matter how small.",25,1
276054,fantastic voyage,"They'll make up some time, once they get through that and reach the Pleural Cavity.",0,0
275858,fantastic voyage,How much can a man give to his country?,0,1
275855,fantastic voyage,Where can I get a cab back to town?,0,0
540098,mr blandings builds his dream house,I kind of felt that he kind of felt that if I kind of told you that you'd know that he knew that you knew... or something.,53,1
540096,mr blandings builds his dream house,"Well, he didn't say in so many words that ever since you started with that house you haven't turned in a decent piece of copy, but --",0,0
539744,mr blandings builds his dream house,"You've been taken to the cleaners, and you don't even know your pants are off.",7,1
539752,mr blandings builds his dream house,"And besides, you're not getting fifty acres, you're only getting thirty- five, more or less.",0,0
540108,mr blandings builds his dream house,"So you hit a spring, a bubbling spring... right here, in our cellar.",12,1
540089,mr blandings builds his dream house,With a few minor deviations I know exactly where every penny is going --,0,0
557374,new nightmare,God wouldn't take me.,0,1
557394,new nightmare,"Five six, grab your crucifix...",0,0
557521,new nightmare,Dylan... until mommy gets back... whatever you do don't fall asleep.,35,1
557553,new nightmare,He doesn't have to be awake to be on his feet.,0,0
365841,heavy metal,I am Ard... Supreme Leader of The Revolution and Next Ruler of The World.,15,1
365859,heavy metal,You will go with him to the Queen's castle and steal the Loc-Nar.,0,0
365814,heavy metal,There was no way I was gonna walk around this place with my dork hanging out!,1,1
365821,heavy metal,"I kept thinking I was going to run out of air, but my new body worked great.",0,0
365861,heavy metal,"If you refuse, you die; she dies... everybody dies!",5,1
365854,heavy metal,"She's sleeping, but only I can awaken her.",0,0
325466,go,"If you were any less black, you'd be clear.",5,1
325653,go,"If you let them in here, they will kill you.",0,0
325537,go,I'm not a bathroom attendant!,2,1
